customer_msg,agent_msg
호텔 방 문이 안 잠겨요 불안해요,"객실 도어락 고장으로 문이 제대로 안 잠긴다고 합니다. 보안 문제이니 즉시 수리하거나 방 교체 긴급으로 요청해주세요."
가이드가 정치적인 발언을 너무 많이 해요,"가이드분이 정치적 견해를 너무 드러내셔서 손님들이 불편해하십니다. 투어 중에는 중립 지키고 여행 관련 이야기만 하도록 주의 부탁드려요."
식당 음식이 너무 짜서 못 먹겠어요,"현지식 간이 너무 세서 손님들이 식사를 거의 남기셨다네요. 다음 식사는 '덜 짜게' 조리 요청 꼭 좀 부탁드려요."
일정에 있는 야시장 문 닫아서 못 갔어요,"야시장 휴무일 체크 안 하고 갔다가 헛걸음하셨다네요. 기본 정보 확인 철저히 하고 대체 일정 마련해주세요."
호텔 수영장 타일이 깨져 있어서 발 다칠 뻔했어요,"수영장 바닥 타일 파손으로 안전사고 위험이 있다고 합니다. 안전 라인 설치하거나 보수 요청해주세요."
가이드가 손님한테 돈 빌려달라고 했어요,"가이드분이 현금 없다고 손님께 돈을 빌려달라고 하셨다네요. 있을 수 없는 일입니다. 사실 확인 후 즉각 조치 부탁드려요."
골프장 잔디 보호한다고 매트에서만 치래요,"페어웨이 상태 안 좋다고 전 홀 매트 플레이 강요받았다고 불만이십니다. 사전에 고지 안 된 부분이니 그린피 일부 환불 요청해주세요."
호텔 룸서비스 시켰는데 2시간이나 걸렸어요,"룸서비스 주문 누락인지 너무 늦게 와서 다 식은 음식 드셨다네요. 서비스 차지 웨이버나 컴플레멘터리 제공 확인해주세요."
가이드가 다른 팀 가이드랑 싸웠어요,"관광지에서 타사 가이드랑 언성을 높이며 싸우셨다네요. 손님들 보기에 민망하니 품위 유지하도록 주의 부탁드립니다."
식당에 에어컨이 없어서 땀 흘리며 밥 먹었어요,"식당 내부가 너무 더워서 식사를 제대로 못 하셨다고 합니다. 다음부터는 냉방 시설 잘 된 곳으로 섭외 부탁드려요."
쇼핑센터에서 가짜 물건 판 거 같아요,"구매한 명품 이미테이션 의심된다고 환불 요청하십니다. 정품 보증서 확인이나 환불 절차 안내 부탁드려요."
비행기 좌석이 이중 배정돼서 서서 갈 뻔했어요,"항공사 전산 오류로 좌석이 중복 배정됐었다고 합니다. 항공사 측에 정식으로 항의하고 마일리지 보상 등 확인해주세요."
골프장 캐디가 공을 자꾸 잃어버려요,"캐디가 공 위치를 못 봐서 로스트볼이 너무 많이 났다고 짜증 내십니다. 경기 보조 능력 있는 캐디로 배정 신경 써주세요."
호텔 조식당 직원이 인종차별적인 발언을 했어요,"조식당 직원의 태도나 언행에서 차별을 느끼셨다고 격분하셨습니다. 호텔 매니저 소환해서 정식 사과 요청해주세요."
가이드가 일정 중에 개인 용무 본다고 사라졌어요,"투어 도중에 가이드분이 개인 볼일 보러 가셔서 손님들이 방치됐었다네요. 근무 시간 준수 철저히 하도록 경고 부탁드려요."
선택관광 배 탔는데 구명조끼도 안 줬어요,"해양 스포츠 진행 시 안전 장비 지급이 제대로 안 됐다고 합니다. 안전 불감증 심각하니 업체 점검 및 시정 조치 요청해주세요."
호텔 방에서 바퀴벌레가 나왔어요,"객실에서 바퀴벌레가 나와서 기겁하셨다고 합니다. 방역 소독 실시 및 룸 업그레이드 교체 강력하게 요청해주세요."
가이드가 손님 물건을 허락 없이 만져요,"가이드분이 손님 소지품이나 쇼핑백을 함부로 만지셔서 불쾌해하십니다. 기본 예의 지키도록 교육 부탁드려요."
식당 컵에서 립스틱 자국이 그대로 있어요,"식기 세척 상태 불량으로 컵에 이물질이 묻어 있었다고 합니다. 위생 관리 철저한 식당으로 수배 부탁드려요."
일정에 있는 박물관이 공사 중이라 못 들어갔어요,"박물관 휴관 정보 미리 확인 안 해서 헛걸음하셨다네요. 대체 관광지 섭외해서 일정 공백 없게 해주세요."
호텔 수영장 물에서 락스 냄새가 너무 심해요,"수영장 소독약 냄새가 너무 독해서 머리가 아플 지경이라고 합니다. 수질 관리 기준 준수하는지 확인 요청해주세요."
가이드가 손님한테 술 따르라고 강요했어요,"회식 자리에서 가이드분이 여성 손님께 술 따르기를 권하셨다네요. 성희롱 소지 있는 행동 절대 금지하도록 엄중 경고 부탁드려요."
골프장 카트 도로가 너무 험해서 허리 다칠 뻔했어요,"카트 도로 정비 상태가 불량해서 이동 중 충격이 심했다고 합니다. 서행 운전 지시 및 도로 보수 요청해주세요."
호텔 조식 메뉴에 유통기한 지난 요거트가 있었어요,"조식 뷔페에 날짜 지난 유제품이 비치돼 있었다고 합니다. 식자재 관리 소홀에 대해 호텔 측에 강력 항의 부탁드려요."
가이드가 일정 변경 동의서에 강제로 사인하게 했어요,"일정 변경에 대해 충분한 설명 없이 서명만 강요했다고 합니다. 절차 무시한 진행에 대해 경위서 제출받아주세요."
선택관광 안 하면 호텔 체크인 안 시켜준다고 협박했어요,"옵션 강요를 넘어 체크인 볼모로 협박까지 하셨다네요. 이건 명백한 규정 위반입니다. 가이드 교체 고려해주세요."
호텔 방 창문이 안 닫혀서 시끄러워요,"창문 고장으로 외부 소음이 그대로 들어온다고 합니다. 수리 불가 시 조용한 방으로 즉시 교체 요청해주세요."
가이드가 손님 뒷담화하다가 걸렸어요,"기사님과 손님 흉보다가 딱 걸리셨다네요. 신뢰가 완전히 깨진 상황입니다. 진정성 있는 사과와 재발 방지 약속 받아주세요."
식당에서 밥 먹는데 쥐가 지나갔어요,"식당 홀에 쥐가 출몰해서 식사 중단하고 나오셨다고 합니다. 위생 최악인 식당이니 거래 중단 검토해주세요."
일정에 있는 유람선이 너무 낡아서 무서웠어요,"유람선 노후화가 심해서 안전이 우려됐다고 합니다. 안전 검사 필한 최신 선박 이용하는 업체로 변경 부탁드려요."
호텔 수영장 안전 요원이 없어요,"수영장에 라이프가드가 상주하지 않아서 불안하다고 합니다. 안전 요원 배치 시간 확인 및 순찰 강화 요청해주세요."
가이드가 손님한테 종교 전도를 했어요,"투어 중에 특정 종교 이야기를 하며 전도를 하셨다네요. 공과 사 구분하고 종교적 중립 지키도록 주의 부탁드려요."
골프장 그늘집이 문을 닫아서 물도 못 마셨어요,"그늘집 운영 시간 종료로 음료 구매를 못 하셨다고 합니다. 카트에 생수 충분히 비치하거나 운영 시간 확인 부탁드려요."
호텔 조식당에서 밥 먹는데 청소기를 돌려요,"식사 시간인데 옆에서 청소기 돌리며 먼지 날렸다고 합니다. 식사 시간 피해서 청소하도록 호텔 측에 주의 요청해주세요."
가이드가 손님한테 반성문 쓰라고 했어요,"집합 시간 늦었다고 손님께 반성문을 요구하셨다네요. 손님을 가르치려 드는 태도, 절대 용납될 수 없습니다. 엄중 조치 부탁드려요."
선택관광 마사지사가 팁 적다고 욕했어요,"팁 액수 확인하고 현지어로 욕설을 했다고 합니다. 해당 마사지사 징계 및 샵 측의 공식 사과 요청해주세요."
호텔 방 천장에서 물이 새요,"누수로 인해 객실 천장에서 물이 떨어진다고 합니다. 짐 젖기 전에 방 교체하고 피해보상 확인해주세요."
가이드가 손님 여권을 잃어버렸어요,"가이드분이 보관 중이던 손님 여권을 분실하셨다네요. 영사관 긴급 여권 발급 지원 및 제반 비용 전액 부담하도록 조치해주세요."
식당 음식이 상해서 배탈 났어요,"식사 후 구토와 설사 증세가 있다고 합니다. 병원 진료 지원 및 식당 측 음식물 배상 책임 보험 접수 확인해주세요."
일정에 있는 케이블카가 운행 중단됐어요,"강풍으로 케이블카 운행이 중단됐다고 합니다. 대체 코스로 변경하거나 입장료 환불 조치 빠르게 진행해주세요."
호텔 수영장에 유리 조각이 떨어져 있었어요,"수영장 바닥에 유리 파편이 있어 발을 베이셨다네요. 응급 처치 및 치료비 지원, 안전 관리 소홀에 대한 보상 청구해주세요."
가이드가 손님한테 폭언을 했어요,"컴플레인 제기하자 가이드분이 욕설과 폭언을 하셨다네요. 즉시 가이드 업무 정지시키고 현지 소장님이 직접 케어 부탁드립니다."
베트남 갈 때 비자 필요한가요?,"베트남 여행 시 비자 발급 필요한지 문의하십니다. 한국 국적 무비자 체류 기간이랑 조건 확인해서 안내 부탁드려요."
여권 만료일이 5개월 남았는데 괜찮나요?,"손님 여권 유효기간이 6개월 미만인데 입국 문제없을까요? 항공사 규정이랑 현지 입국 심사 기준 체크 좀 부탁드립니다."
현지 전압이 한국이랑 똑같나요? 돼지코 가져가야 하나요?,"현지 전압 및 콘센트 모양 문의하십니다. 멀티 어댑터 챙겨야 하는지 호텔에 비치돼 있는지 확인해주세요."
환전은 달러로 해가야 하나요 아니면 현지 돈으로 해가야 하나요?,"환전 관련해서 달러 이중 환전이 유리한지 바로 현지 화폐로 준비하는 게 나은지 팁 좀 주세요. 손님들께 안내해드리려고요."
기내에 액체류 얼마나 가져갈 수 있어요?,"기내 반입 액체류 규정 문의하십니다. 화장품이나 세면도구 용량 제한이랑 지퍼백 포장 여부 정확히 알려주세요."
현지 날씨가 어떤가요? 옷을 어떻게 챙겨가야 할지 모르겠어요,"여행 기간 현지 날씨 예보랑 옷차림 추천 부탁드려요. 긴팔 챙겨야 하는지 우산 필요한지 손님들이 궁금해하십니다."
공항 미팅 장소가 어디에요? 가이드가 피켓 들고 있나요?,"공항 도착 후 가이드 미팅 포인트 정확한 위치랑 피켓명 알려주세요. 손님들이 헤매지 않게 약도나 사진 있으면 더 좋고요."
수하물 무게 제한이 몇 키로에요? 골프백 포함인가요?,"위탁 수하물 허용 무게랑 골프백 합산 여부 확인 부탁드려요. 초과 시 요금 규정도 같이 알려주시면 감사하겠습니다."
기내식 나오나요? 아이들 먹을 키즈밀 신청 되나요?,"해당 항공편 기내식 제공 여부랑 아동용 기내식 사전 신청 가능한지 확인해주세요. 메뉴 선택도 가능한가요?"
좌석 배정은 언제 할 수 있나요? 창가 쪽으로 하고 싶은데,"항공 좌석 사전 지정 오픈 시간이랑 방법 안내 부탁드려요. 일행분들 연석이랑 창가 좌석 선호하십니다."
로밍 해가는 게 좋아요 아니면 유심 사는 게 좋아요?,"데이터 사용 관련해서 로밍, 유심, 포켓 와이파이 중 어떤 게 현지에서 잘 터지고 저렴한지 추천 좀 부탁드려요."
여행자 보험은 들어주나요? 보장 내역이 어떻게 돼요?,"패키지 포함 여행자 보험 보장 한도랑 내역서 요청하십니다. 현지 병원비나 휴대품 파손 보상 범위 확인해주세요."
비상시에 연락할 현지 연락처 좀 알려주세요,"가이드분 외에 현지 비상 연락망이나 한국인 담당자 번호 미리 받을 수 있을까요? 손님들이 불안해하셔서요."
반입 금지 물품이 뭐에요? 소주 가져가도 되나요?,"현지 입국 시 반입 금지 품목이랑 주류/담배 면세 한도 정확히 알려주세요. 소주 팩 챙겨가도 되는지 물어보시네요."
면세점 쇼핑 한도가 얼마에요?,"귀국 시 면세 한도랑 현지 입국 시 면세 한도 각각 안내 부탁드려요. 불이익 당하지 않게 미리 공지하려고 합니다."
현지 팁 문화는 어떤가요? 얼마나 줘야 해요?,"호텔 팁이나 마사지 팁 등 현지 팁 관례에 대해 가이드라인 좀 주세요. 달러로 줘도 되는지 현지 화폐로 줘야 하는지요."
시차는 얼마나 나나요?,"한국이랑 시차 얼마나 나는지, 비행시간은 총 몇 시간 걸리는지 기본 정보 정리해서 보내주세요."
비행기 탈 때 보조배터리 부쳐도 되나요?,"보조배터리랑 전자담배 위탁 수하물 금지 규정 다시 한번 손님들께 강조해야 할 것 같아요. 기내 반입만 가능하죠?"
현지 물가가 비싼가요? 용돈 얼마나 가져가면 될까요?,"현지 물가 수준 감안해서 개인 용돈 어느 정도 환전해가면 적당할지 추천 금액 좀 알려주세요."
상비약 챙겨가야 하나요? 현지 약국 이용하기 쉽나요?,"소화제나 진통제 같은 상비약 챙겨가는 게 좋겠죠? 현지 약국 찾기 쉽거나 약 구하기 편한지 궁금해하십니다."
호텔에 드라이기랑 어메니티 있나요?,"투숙 호텔 객실 비품 리스트 확인 부탁드려요. 헤어드라이어, 샴푸, 린스, 칫솔 치약 다 구비되어 있는지요."
조식은 몇 시부터 먹을 수 있나요?,"호텔 조식 운영 시간이랑 장소 미리 알려주세요. 골프 티업 시간 때문에 일찍 식사 가능한지 체크 필요합니다."
현지에서 카드 결제 잘 되나요?,"식당이나 쇼핑몰에서 신용카드 사용 원활한지, 아니면 현금 위주로 써야 하는지 결제 환경 안내 부탁드려요."
물은 사 먹어야 하나요? 호텔 물 마셔도 되나요?,"현지 수돗물 석회질 때문에 마시면 안 되죠? 호텔 생수 제공되는지랑 식당 물 마셔도 안전한지 확인해주세요."
과일 칼 가져가도 되나요?,"현지에서 과일 깎아 드신다고 과도 챙겨가신다는데 위탁 수하물로 부치면 문제없는지 확인 부탁드려요."
유모차 가져가면 비행기 앞까지 가져갈 수 있나요?,"유아 동반 손님이 유모차 도어 투 도어 서비스 가능한지 물어보시네요. 항공사 규정 확인해주세요."
임산부인데 비행기 타도 되나요? 서류 필요한가요?,"임신 20주 차 손님 탑승 가능 여부랑 의사 소견서 등 필요 서류 있는지 항공사 규정 체크 부탁드립니다."
골프백 커버 씌워야 하나요?,"항공 수하물 보낼 때 골프백 항공 커버 필수인가요? 없으면 현장에서 구매 가능한지 알려주세요."
현지 치안은 안전한가요? 밤에 돌아다녀도 되나요?,"여행지 치안 상황이랑 야간 외출 시 주의사항 있으면 미리 공유 부탁드려요. 우범 지역이나 조심해야 할 점들이요."
호텔 보증금(디파짓) 있나요? 얼마에요?,"체크인 시 디파짓 필요한지, 금액은 얼마고 카드로 가능한지 확인해주세요. 손님들께 미리 준비하시라고 해야 해서요."
현지에서 한국 음식 파는 곳 있나요?,"어르신들이라 한식 찾으실 것 같은데 호텔 근처나 시내에 한식당이나 한국 마트 있는지 위치 좀 봐주세요."
마사지 샵 예약은 미리 해야 하나요?,"자유 시간에 마사지 받고 싶어 하시는데 현지 가서 예약해도 되는지 아니면 한국에서 미리 잡고 가는 게 좋은지 추천해주세요."
현지 유심 끼우면 한국 번호로 전화 못 받나요?,"유심 교체 시 한국 전화 수신 불가한 점 손님께 안내해드려야겠죠? 착신 전환이나 로밍 등 대안 설명 부탁드려요."
데이터 로밍 차단은 어떻게 하나요?,"어르신들 데이터 요금 폭탄 안 맞게 출국 전 데이터 로밍 차단 설정 방법 안내문 좀 보내주실 수 있을까요?"
공항에 몇 시간 전까지 가야 하나요?,"성수기라 공항 혼잡할 텐데 미팅 시간 몇 시로 잡으면 여유 있을까요? 3시간 전 도착이면 충분할까요?"
자동 출입국 심사 등록해야 하나요?,"인천공항 및 현지 공항 자동 출입국 심사 이용 가능한지, 사전 등록 필요한지 확인 부탁드려요."
면세점에서 산 액체류 기내 반입 되나요?,"면세 구역에서 구매한 주류나 화장품 기내 반입 규정(STEB 포장 등) 정확히 안내 부탁드립니다. 경유 시 주의사항도요."
현지 옷 사이즈가 한국이랑 같나요?,"현지에서 옷 사 입으실 계획이라는데 사이즈 표기가 한국이랑 동일한지, 아니면 한 치수 크게/작게 입어야 하는지 팁 좀 주세요."
호텔에 수영복 입고 돌아다녀도 되나요?,"호텔 로비나 조식당 이동 시 수영복 차림 가능한지, 아니면 가운이나 겉옷 걸쳐야 하는지 복장 규정 확인해주세요."
현지에서 렌트카 빌릴 수 있나요? 국제면허증 필요한가요?,"자유 일정 때 렌트카 이용 원하시는데 한국 국제면허증 통용되는지, 기사 포함 렌트가 나은지 조언 부탁드려요."
그랩(Grab) 어플 깔아가야 하나요?,"현지 이동 시 그랩이나 우버 같은 호출 앱 필수인지, 사용법이나 카드 등록 미리 해가는 게 좋은지 알려주세요."
호텔에 전자레인지 있나요? 햇반 데워 먹으려구요,"객실 내 전자레인지 비치 여부나 로비/편의점에서 사용 가능한지 확인해주세요. 이유식이나 햇반 데울 일이 있으시대요."
아기 침대(베이비 가드) 설치해주나요?,"유아 동반 객실에 아기 침대나 침대 가드 사전 요청 가능한지 호텔 측에 확인하고 세팅 부탁드려요."
커넥팅 룸으로 배정 가능한가요?,"두 가족 여행이라 객실 내부 문으로 연결된 커넥팅 룸 요청하십니다. 확정은 안 돼도 우선 요청 넣어주실 수 있죠?"
현지에서 환전할 때 5만원권도 받아주나요?,"달러 말고 한국 돈 5만원권도 현지 환전소에서 환전 가능한지, 환율 차이가 큰지 확인 부탁드려요."
비행기 마일리지 적립 되나요?,"이번 패키지 항공권 마일리지 적립 가능한 클래스인지, 가능하다면 적립 방법 안내 부탁드립니다."
현지 전압이 불안정해서 고데기 고장 날 수도 있나요?,"현지 전압 사정 때문에 정밀 기기나 고데기 고장 날 위험 있는지, 프리볼트 제품 써야 하는지 체크해주세요."
모기 기피제 가져가도 되나요? 스프레이형인데,"스프레이형 모기 기피제 위탁 수하물 반입 가능한지(인체용/살충제 구분) 항공사 규정 확인 부탁드려요."
현지에서 팁 줄 때 천원짜리 줘도 되나요?,"달러 소액권 없을 때 한국 돈 천원짜리로 팁 줘도 현지 분들이 좋아하시는지, 아니면 달러/현지 화폐만 선호하는지 알려주세요."
공항에서 환전하는 게 낫나요 시내에서 하는 게 낫나요?,"환율 우대 측면에서 공항 환전소랑 시내 사설 환전소 중 어디를 추천하시나요? 소액만 공항에서 하고 나머진 시내에서 할까요?"
현지 기념품 뭐 사오면 좋아요?,"지인들 선물용으로 인기 있는 현지 쇼핑 리스트나 특산품 추천 좀 해주세요. 바가지 안 쓰고 살 만한 곳도요."
호텔에 짐 맡기고 투어 다녀와도 되나요?,"체크아웃 후에 캐리어 호텔에 보관하고 투어 진행 가능한지, 보관료 따로 있는지 확인해주세요."
비행기 탈 때 신발 벗고 타나요?,"농담이시겠지만...^^; 비행기 처음 타시는 어르신들이라 탑승 절차나 기내 에티켓 간단히 정리된 자료 있으면 좋을 것 같아요."
현지 화장실 깨끗한가요? 휴지 챙겨가야 하나요?,"관광지 공중화장실 위생 상태 어떤가요? 개인 휴지나 물티슈 챙겨 다니는 게 필수인지 알려주세요."
물갈이 심한데 주의할 점 있나요?,"물갈이 예민하신 분들 식수나 양치할 때 생수 사용해야 하는지, 얼음 먹지 말아야 하는지 등 주의사항 안내 부탁드려요."
현지에서 한국 방송 나오나요?,"호텔 TV에서 YTN이나 아리랑TV 같은 한국 채널 시청 가능한지 어르신들이 궁금해하십니다."
비행기 좌석 간격 넓은 자리로 살 수 있나요?,"비상구 좌석이나 앞열 좌석 유료 구매 가능한지, 비용은 얼마고 신청 어떻게 하는지 확인해주세요."
현지에서 카드 쓰면 수수료 많이 나오나요?,"해외 카드 결제 시 수수료율이랑 DCC(자국 통화 결제) 차단 설정 필요성 안내 부탁드려요."
호텔에 한국 직원 있나요?,"투숙하시는 호텔에 한국인 직원 상주하는지, 아니면 한국어 가능한 현지 직원 있는지 확인해주세요."
현지 날씨가 습한가요?,"기온도 중요하지만 습도가 높은지 건조한지 알아야 옷 챙기기 수월할 것 같아요. 불쾌지수 높은 편인가요?"
우비 챙겨가는 게 낫나요 우산이 낫나요?,"우기 시즌이라는데 활동하기에 우비가 편할지 접이식 우산이 나을지 현지 상황에 맞춰 추천 부탁드려요."
현지에서 택시 타면 바가지 안 쓰나요?,"일반 택시 이용 시 미터기 켜달라고 해야 하는지, 아니면 흥정해야 하는지 택시 이용 팁 좀 알려주세요."
호텔 조식에 김치 나오나요?,"어르신들 식사 때문에 조식 뷔페에 김치나 한식 메뉴 일부 제공되는지 확인 부탁드립니다."
현지 유심 사면 카톡 그대로 쓸 수 있나요?,"유심 바꿔도 카카오톡 친구 목록이나 대화 내용 그대로 유지되는지 손님들이 헷갈려하셔서 정확한 안내 부탁드려요."
비행기 탈 때 귀가 먹먹한데 어떻게 해요?,"기압 차 때문에 귀 통증 호소하시는 분들 위한 팁(껌 씹기, 귀마개 등)이나 상비약 추천해주실 수 있나요?"
현지 과일 한국으로 가져올 수 있나요?,"망고나 열대과일 너무 맛있어서 사오고 싶어 하실 텐데, 생과일 국내 반입 절대 불가한 점 미리 강력하게 공지 부탁드려요."
호텔 수영장 수심이 깊나요?,"수영장 깊이가 성인/아동용 구분되어 있는지, 구명조끼 대여 가능한지 안전 관련 정보 확인해주세요."
현지에서 컵라면 먹어도 되나요?,"호텔 객실에서 컵라면 취식 가능한지(냄새 때문에 금지하는 곳도 있어서), 커피포트 위생 상태는 괜찮은지 체크 부탁드려요."
비행기 담요 주나요?,"저가 항공사 이용 시 담요 유상 제공인지 무상인지 확인해서 겉옷 챙기시라고 안내해야 할 것 같아요."
현지 마사지 팁은 마사지 전에 주나요 후에 주나요?,"마사지 팁 주는 타이밍이랑 매너 팁 봉투 준비해가면 좋은지 소소한 팁 문화 알려주세요."
공항 면세점 몇 시에 문 여나요?,"이른 아침 출발인데 공항 면세점 오픈 시간 확인해서 쇼핑 가능한지 손님들께 알려드려야 해요."
현지에서 한국 돈 환전 되나요?,"급할 때 한국 돈 1만원, 5만원권도 현지 환전소나 가이드 통해서 환전 가능한지 비상금 관련 안내 부탁드려요."
호텔에 칫솔 치약 있나요?,"요즘 환경 보호 때문에 일회용품 제공 안 하는 호텔이 많아서요. 칫솔/치약 꼭 챙겨가야 하는지 확인해주세요."
현지 인터넷 속도 빠른가요?,"호텔이나 식당 와이파이 속도가 한국만큼 빠른지, 아니면 답답할 수 있으니 데이터 넉넉히 준비해야 하는지 알려주세요."
비행기 탈 때 신발에 쇠붙이 있으면 삑 소리 나나요?,"보안 검색대 통과할 때 신발이나 벨트 때문에 걸리는 경우 있는지, 편한 복장 추천 멘트 부탁드려요."
현지에서 소매치기 조심해야 하나요?,"관광지 소매치기 유형(오토바이 날치기 등)이랑 예방법, 가방 앞으로 메기 등 안전 수칙 공유 부탁드립니다."
호텔에 다리미 있나요?,"구겨진 옷 다려 입으셔야 한다는데 객실 내 다리미/다리미판 비치돼 있는지 대여해야 하는지 확인해주세요."
현지 물이 석회수라는데 샤워 필터 가져가야 하나요?,"피부 예민하신 분들 샤워기 필터 챙겨가시는 게 좋을지, 호텔 수질 상태 어떤지 솔직한 조언 부탁드려요."
비행기 좌석 등받이 뒤로 젖혀도 되나요?,"기내 에티켓 관련해서 식사 시간 외에 등받이 조절 자유로운지, 뒷사람 배려 멘트도 같이 해주시면 좋을 것 같아요."
현지에서 길 잃어버리면 어떻게 해요?,"길 잃었을 때 대처법(호텔 명함 챙기기, 구글맵 활용 등)이랑 가이드 긴급 연락처 다시 한번 강조해주세요."
호텔 조식 뷔페 음식 남기면 벌금 있나요?,"환경 부담금 명목으로 음식 남길 시 벌금 부과하는 곳 있는지 확인해서 주의사항으로 안내 부탁드려요."
현지에서 짝퉁 시장 가볼 수 있나요?,"손님들이 재미 삼아 야시장이나 이미테이션 시장 구경 원하시는데 일정 중 방문 가능한 곳이나 주의할 점 알려주세요."
비행기 탈 때 마스크 써야 하나요?,"기내 마스크 착용 의무 해제됐는지, 아니면 아직 권고 사항인지 항공사 및 도착 국가 방역 지침 확인해주세요."
현지에서 팁 안 주면 싫어하나요?,"팁이 의무는 아니지만 서비스 만족도에 따라 주는 문화인지, 안 주면 서비스 질이 떨어지는지 현실적인 조언 부탁드려요."
호텔 체크인 할 때 여권 맡겨야 하나요?,"호텔 체크인 시 여권 원본 보관하는지 아니면 복사만 하고 돌려주는지 확인해주세요. 분실 우려 때문에요."
현지 편의점에 한국 라면 파나요?,"밤에 출출할 때 드실 컵라면이나 김치, 소주 등 현지 편의점에서 쉽게 구할 수 있는지 알려주세요."
비행기 탈 때 보조배터리 용량 제한 있나요?,"대용량 보조배터리(20000mAh 이상) 기내 반입 개수나 용량 제한 규정 정확히 체크해서 공지 부탁드려요."
현지에서 우산 빌려주나요?,"호텔 로비에서 우산 대여 서비스 제공하는지, 아니면 개별 우산/우비 꼭 챙겨야 하는지 확인해주세요."
호텔 방에 금고 있나요? 믿을 만한가요?,"귀중품 보관용 객실 금고 있는지, 사용법은 간단한지, 그리고 안전한지(도난 사고 사례 없는지) 확인 부탁드려요."
현지에서 택시비 카드 결제 되나요?,"그랩 말고 일반 택시도 카드 결제 가능한지, 아니면 현금(잔돈) 준비해야 하는지 교통 수단 결제 팁 알려주세요."
비행기 탈 때 목베개 가져가는 게 좋나요?,"비행시간 고려했을 때 목베개 챙겨가는 게 훨씬 편안한지, 기내 제공은 없는지 확인해서 추천해주세요."
호텔 수영장에 튜브 바람 넣는 기계 있나요?,"호텔 수영장에 튜브 공기 주입기 비치되어 있는지 확인 부탁드려요. 아이들 튜브 가져가신다고 하네요."
골프장 복장 규정이 어떻게 되나요? 반바지 입어도 되나요?,"해당 골프장 드레스 코드 확인 부탁드립니다. 반바지 착용 가능한지, 양말 길이는 규정이 있는지요."
료칸 가이세키 요리에 회가 나오나요? 날거 못 먹는데,"료칸 석식 가이세키 메뉴에 생선회 포함되는지, 혹시 익힌 요리로 대체 가능한지 확인 부탁드려요."
호텔에 돼지코(변환 어댑터) 빌릴 수 있나요?,"객실 내에 멀티 어댑터 비치되어 있는지, 아니면 프론트에서 대여 가능한지 확인해주세요."
스노클링 할 때 오리발도 빌려주나요?,"호핑투어 장비 대여 시 오리발(핀)도 포함인지, 아니면 개별 준비해야 하는지 알려주세요."
방에 엑스트라 베드 넣으면 많이 좁아지나요?,"엑스트라 베드 추가 시 객실 공간이 많이 협소해지는지, 캐리어 펼 공간은 나오는지 체크 부탁드려요."
골프장에 한국어 할 줄 아는 캐디 있나요?,"혹시 한국어 소통 가능한 캐디분 배정 가능한지 골프장 측에 문의 부탁드립니다."
호텔 조식에 쌀국수 나오나요?,"호텔 조식 메뉴에 즉석 쌀국수 코너 있는지 손님들이 궁금해하십니다."
투어 차량에 카시트 설치 가능한가요?,"유아 동반 손님인데 이동 차량에 카시트 설치 가능한지, 카시트는 준비해주시는지 확인해주세요."
마사지 받고 샤워할 수 있나요?,"마사지 샵에 샤워 시설 완비되어 있는지, 마사지 후 샤워 가능한지 확인 부탁드려요."
호텔 근처에 편의점 걸어서 갈 수 있나요?,"호텔에서 도보로 이동 가능한 거리에 편의점이나 마트가 있는지 위치 확인해주세요."
골프 칠 때 2인 플레이 가능한가요?,"2인 부부 팀인데 조인 없이 2인 플레이 보장 가능한지, 추가 비용 발생하는지 확인 부탁드립니다."
온천에 문신 있으면 못 들어가나요?,"료칸 대욕장 이용 시 문신(타투) 제한 규정이 있는지, 가릴 수 있는 패치 붙이면 허용되는지 확인해주세요."
호텔 룸서비스 24시간 되나요?,"호텔 룸서비스 운영 시간 확인 부탁드려요. 심야에도 주문 가능한지요."
패키지 식사에 삼겹살 무제한인가요?,"특식으로 제공되는 삼겹살이 무제한 리필인지, 정량 제공인지 손님들께 정확히 안내해야 해서요."
요트 투어 할 때 멀미약 주나요?,"요트 투어 시 멀미약 제공되는지, 아니면 손님들이 미리 준비하셔야 하는지 알려주세요."
호텔에 세탁기 있나요? 빨래 좀 하려구요,"호텔 내에 코인 세탁실(런드리 룸)이 있는지, 이용 요금은 얼마인지 확인 부탁드려요."
골프장 그늘집에서 한국 음식 파나요?,"그늘집 메뉴에 떡볶이나 라면 같은 한국 음식 판매하는지 확인해주세요."
투어 할 때 많이 걷나요? 다리가 안 좋아서요,"해당 투어 코스 도보 이동량이 많은지, 어르신들이 소화하기에 무리가 없는지 체크 부탁드립니다."
호텔 방에 욕조 있나요? 반신욕 하고 싶은데,"배정된 객실에 욕조가 설치되어 있는지, 샤워 부스만 있는지 확인 부탁드려요."
현지 유심 공항에서 바로 끼워주나요?,"공항 미팅 시 가이드분이 유심 교체 및 세팅까지 도와주시는지 확인해주세요."
골프채 렌탈하면 브랜드가 뭐에요?,"렌탈 클럽 브랜드랑 상태(스펙) 미리 알 수 있을까요? 손님들이 예민하셔서요."
호텔 조식 도시락으로 싸갈 수 있나요?,"이른 티업으로 식당 이용이 어려울 경우 조식 박스(도시락) 포장 가능한지 확인 부탁드려요."
선택관광 비용 달러로만 내야 하나요?,"옵션 투어 비용 지불 시 원화나 현지 화폐 결제도 가능한지, 계좌 이체도 되는지 확인해주세요."
